wormbase_id,phenotype,count
WBGene00000001,WBPhenotype:0000964,1
WBGene00000001,WBPhenotype:0000061,2
WBGene00000001,WBPhenotype:0000637,1
WBGene00000001,WBPhenotype:0000295,1
WBGene00000001,WBPhenotype:0000674,1
WBGene00000001,WBPhenotype:0001539,5
WBGene00000001,WBPhenotype:0000694,5
WBGene00000002,WBPhenotype:0000039,1
WBGene00000002,WBPhenotype:0000591,1
WBGene00000002,WBPhenotype:0001502,1
WBGene00000003,WBPhenotype:0001502,1
WBGene00000003,WBPhenotype:0000591,1
WBGene00000004,WBPhenotype:0001184,1
WBGene00000004,WBPhenotype:0000591,1
WBGene00000004,WBPhenotype:0001502,1
WBGene00000005,WBPhenotype:0002188,1
WBGene00000005,WBPhenotype:0000691,1
WBGene00000005,WBPhenotype:0001675,1
WBGene00000005,WBPhenotype:0000961,1
WBGene00000007,WBPhenotype:0000694,1
WBGene00000009,WBPhenotype:0000061,1
WBGene00000009,WBPhenotype:0000461,1
WBGene00000011,WBPhenotype:0000643,1
WBGene00000011,WBPhenotype:0000697,1
WBGene00000011,WBPhenotype:0000059,1
WBGene00000011,WBPhenotype:0000050,1
WBGene00000011,WBPhenotype:0000688,1
WBGene00000011,WBPhenotype:0000698,1
WBGene00000011,WBPhenotype:0000504,1
WBGene00000013,WBPhenotype:0001013,3
WBGene00000014,WBPhenotype:0001013,1
WBGene00000014,WBPhenotype:0001012,1
WBGene00000018,WBPhenotype:0000436,1
WBGene00000018,WBPhenotype:0000730,1
WBGene00000018,WBPhenotype:0001742,1
WBGene00000018,WBPhenotype:0000386,1
WBGene00000018,WBPhenotype:0001391,1
WBGene00000018,WBPhenotype:0001014,1
WBGene00000018,WBPhenotype:0000182,1
WBGene00000018,WBPhenotype:0000120,1
WBGene00000018,WBPhenotype:0001577,1
WBGene00000018,WBPhenotype:0000731,3
WBGene00000018,WBPhenotype:0000686,1
WBGene00000019,WBPhenotype:0001208,1
WBGene00000022,WBPhenotype:0001507,1
WBGene00000024,WBPhenotype:0001013,4
WBGene00000024,WBPhenotype:0001003,4
WBGene00000024,WBPhenotype:0001090,1
WBGene00000024,WBPhenotype:0001722,2
WBGene00000024,WBPhenotype:0001171,1
WBGene00000024,WBPhenotype:0000012,4
WBGene00000028,WBPhenotype:0001171,3
WBGene00000029,WBPhenotype:0000012,4
WBGene00000029,WBPhenotype:0001013,10
WBGene00000029,WBPhenotype:0000031,1
WBGene00000029,WBPhenotype:0000848,1
WBGene00000029,WBPhenotype:0001281,1
WBGene00000029,WBPhenotype:0002241,1
WBGene00000030,WBPhenotype:0000012,4
WBGene00000030,WBPhenotype:0001013,10
WBGene00000030,WBPhenotype:0000031,1
WBGene00000030,WBPhenotype:0000848,1
WBGene00000030,WBPhenotype:0001281,1
WBGene00000030,WBPhenotype:0002241,1
WBGene00000031,WBPhenotype:0000012,4
WBGene00000031,WBPhenotype:0001013,10
WBGene00000031,WBPhenotype:0000031,1
WBGene00000031,WBPhenotype:0000848,1
WBGene00000031,WBPhenotype:0001281,1
WBGene00000031,WBPhenotype:0002241,1
WBGene00000034,WBPhenotype:0001171,6
WBGene00000034,WBPhenotype:0001013,2
WBGene00000034,WBPhenotype:0001722,2
WBGene00000034,WBPhenotype:0001090,1
WBGene00000035,WBPhenotype:0002077,1
WBGene00000035,WBPhenotype:0001987,1
WBGene00000035,WBPhenotype:0004028,2
WBGene00000035,WBPhenotype:0000124,1
WBGene00000035,WBPhenotype:0001289,1
WBGene00000035,WBPhenotype:0000177,1
WBGene00000035,WBPhenotype:0001988,1
WBGene00000035,WBPhenotype:0002241,1
WBGene00000036,WBPhenotype:0000643,1
WBGene00000036,WBPhenotype:0000124,1
WBGene00000036,WBPhenotype:0000177,1
WBGene00000036,WBPhenotype:0001289,1
WBGene00000036,WBPhenotype:0001987,1
WBGene00000036,WBPhenotype:0001988,1
WBGene00000036,WBPhenotype:0004028,1
WBGene00000037,WBPhenotype:0001987,4
WBGene00000037,WBPhenotype:0000177,1
WBGene00000037,WBPhenotype:0002277,1
WBGene00000038,WBPhenotype:0000177,1
WBGene00000038,WBPhenotype:0001987,1
WBGene00000038,WBPhenotype:0002277,1
WBGene00000038,WBPhenotype:0000688,1
WBGene00000039,WBPhenotype:0000050,1
WBGene00000039,WBPhenotype:0000688,2
WBGene00000039,WBPhenotype:0000062,1
WBGene00000039,WBPhenotype:0000643,3
WBGene00000039,WBPhenotype:0000081,2
WBGene00000039,WBPhenotype:0000229,1
WBGene00000039,WBPhenotype:0000662,2
WBGene00000039,WBPhenotype:0000059,1
WBGene00000039,WBPhenotype:0000640,1
WBGene00000039,WBPhenotype:0000054,2
WBGene00000039,WBPhenotype:0000070,1
WBGene00000039,WBPhenotype:0000202,1
WBGene00000039,WBPhenotype:0000031,2
WBGene00000039,WBPhenotype:0000061,1
WBGene00000039,WBPhenotype:0000638,3
WBGene00000039,WBPhenotype:0000697,1
WBGene00000039,WBPhenotype:0000166,1
WBGene00000039,WBPhenotype:0000679,1
WBGene00000039,WBPhenotype:0000082,1
WBGene00000039,WBPhenotype:0000644,1
WBGene00000039,WBPhenotype:0001405,1
WBGene00000040,WBPhenotype:0002046,1
WBGene00000040,WBPhenotype:0000039,1
WBGene00000040,WBPhenotype:0000154,1
WBGene00000040,WBPhenotype:0001866,1
WBGene00000040,WBPhenotype:0001014,1
WBGene00000041,WBPhenotype:0000689,1
WBGene00000041,WBPhenotype:0000050,4
WBGene00000041,WBPhenotype:0000059,2
WBGene00000041,WBPhenotype:0001969,1
WBGene00000041,WBPhenotype:0000061,2
WBGene00000041,WBPhenotype:0000643,2
WBGene00000041,WBPhenotype:0001952,1
WBGene00000041,WBPhenotype:0000126,1
WBGene00000041,WBPhenotype:0000662,1
WBGene00000041,WBPhenotype:0000688,1
WBGene00000041,WBPhenotype:0001236,1
WBGene00000041,WBPhenotype:0001208,1
WBGene00000041,WBPhenotype:0001595,1
WBGene00000041,WBPhenotype:0001979,1
WBGene00000041,WBPhenotype:0001944,1
WBGene00000041,WBPhenotype:0001810,1
WBGene00000041,WBPhenotype:0001943,1
WBGene00000041,WBPhenotype:0000697,1
WBGene00000041,WBPhenotype:0000745,1
WBGene00000042,WBPhenotype:0002346,1
WBGene00000042,WBPhenotype:0002296,1
WBGene00000042,WBPhenotype:0002309,1
WBGene00000042,WBPhenotype:0000643,1
WBGene00000042,WBPhenotype:0000022,1
WBGene00000042,WBPhenotype:0002322,1
WBGene00000042,WBPhenotype:0002293,1
WBGene00000042,WBPhenotype:0000655,1
WBGene00000042,WBPhenotype:0000688,1
WBGene00000042,WBPhenotype:0002300,1
WBGene00000042,WBPhenotype:0002326,1
WBGene00000042,WBPhenotype:0002325,1
WBGene00000042,WBPhenotype:0002337,1
WBGene00000042,WBPhenotype:0000420,1
WBGene00000042,WBPhenotype:0002286,1
WBGene00000042,WBPhenotype:0002328,1
WBGene00000042,WBPhenotype:0002303,1
WBGene00000042,WBPhenotype:0002289,1
WBGene00000042,WBPhenotype:0001005,1
WBGene00000042,WBPhenotype:0000656,1
WBGene00000042,WBPhenotype:0002312,1
WBGene00000042,WBPhenotype:0001701,1
WBGene00000042,WBPhenotype:0004023,1
WBGene00000042,WBPhenotype:0000017,1
WBGene00000042,WBPhenotype:0000016,1
WBGene00000042,WBPhenotype:0002319,1
WBGene00000042,WBPhenotype:0000542,1
WBGene00000042,WBPhenotype:0000977,1
WBGene00000043,WBPhenotype:0002346,1
WBGene00000043,WBPhenotype:0002300,1
WBGene00000043,WBPhenotype:0002325,1
WBGene00000043,WBPhenotype:0002309,1
WBGene00000043,WBPhenotype:0002319,1
WBGene00000043,WBPhenotype:0002337,1
WBGene00000043,WBPhenotype:0004022,1
WBGene00000043,WBPhenotype:0001005,1
WBGene00000043,WBPhenotype:0004023,1
WBGene00000043,WBPhenotype:0002322,1
WBGene00000043,WBPhenotype:0002291,1
WBGene00000043,WBPhenotype:0002312,1
WBGene00000043,WBPhenotype:0002289,1
WBGene00000043,WBPhenotype:0002295,1
WBGene00000043,WBPhenotype:0002286,1
WBGene00000043,WBPhenotype:0002303,1
WBGene00000044,WBPhenotype:0001573,3
WBGene00000044,WBPhenotype:0000525,3
WBGene00000044,WBPhenotype:0001780,3
WBGene00000045,WBPhenotype:0002312,1
WBGene00000045,WBPhenotype:0002295,1
WBGene00000045,WBPhenotype:0001005,1
WBGene00000045,WBPhenotype:0002288,1
WBGene00000045,WBPhenotype:0004023,1
WBGene00000045,WBPhenotype:0002322,1
WBGene00000045,WBPhenotype:0002335,1
WBGene00000045,WBPhenotype:0004022,1
WBGene00000045,WBPhenotype:0000542,1
WBGene00000045,WBPhenotype:0002286,1
WBGene00000045,WBPhenotype:0002319,1
WBGene00000045,WBPhenotype:0002291,1
WBGene00000045,WBPhenotype:0002309,1
WBGene00000045,WBPhenotype:0002300,1
WBGene00000045,WBPhenotype:0002325,1
WBGene00000045,WBPhenotype:0002346,1
WBGene00000045,WBPhenotype:0002303,1
WBGene00000045,WBPhenotype:0000059,1
WBGene00000045,WBPhenotype:0000050,1
WBGene00000046,WBPhenotype:0002344,1
WBGene00000046,WBPhenotype:0004022,1
WBGene00000046,WBPhenotype:0002296,1
WBGene00000046,WBPhenotype:0002298,1
WBGene00000046,WBPhenotype:0002288,1
WBGene00000046,WBPhenotype:0002303,1
WBGene00000046,WBPhenotype:0000022,1
WBGene00000046,WBPhenotype:0001482,1
WBGene00000046,WBPhenotype:0002321,1
WBGene00000046,WBPhenotype:0002324,1
WBGene00000046,WBPhenotype:0002286,1
WBGene00000046,WBPhenotype:0002312,1
WBGene00000047,WBPhenotype:0001203,1
WBGene00000048,WBPhenotype:0002337,1
WBGene00000048,WBPhenotype:0000062,1
WBGene00000048,WBPhenotype:0002293,1
WBGene00000048,WBPhenotype:0000164,1
WBGene00000048,WBPhenotype:0002312,1
WBGene00000048,WBPhenotype:0002288,1
WBGene00000048,WBPhenotype:0002325,1
WBGene00000048,WBPhenotype:0002309,1
WBGene00000048,WBPhenotype:0002346,1
WBGene00000048,WBPhenotype:0000681,1
WBGene00000048,WBPhenotype:0004023,1
WBGene00000048,WBPhenotype:0002286,1
WBGene00000048,WBPhenotype:0000688,1
WBGene00000048,WBPhenotype:0002300,1
WBGene00000048,WBPhenotype:0000353,1
WBGene00000048,WBPhenotype:0002301,1
WBGene00000048,WBPhenotype:0002322,1
WBGene00000048,WBPhenotype:0002295,1
WBGene00000048,WBPhenotype:0004022,1
WBGene00000049,WBPhenotype:0002328,1
WBGene00000049,WBPhenotype:0002284,1
WBGene00000049,WBPhenotype:0000542,1
WBGene00000049,WBPhenotype:0002291,1
WBGene00000049,WBPhenotype:0002319,1
WBGene00000049,WBPhenotype:0002309,1
WBGene00000049,WBPhenotype:0002289,1
WBGene00000049,WBPhenotype:0002325,1
WBGene00000049,WBPhenotype:0002303,1
WBGene00000049,WBPhenotype:0002346,1
WBGene00000049,WBPhenotype:0002337,1
WBGene00000049,WBPhenotype:0001005,1
WBGene00000049,WBPhenotype:0002312,1
WBGene00000049,WBPhenotype:0004023,1
WBGene00000049,WBPhenotype:0002322,1
WBGene00000049,WBPhenotype:0000643,1
WBGene00000050,WBPhenotype:0002337,1
WBGene00000050,WBPhenotype:0002322,1
WBGene00000050,WBPhenotype:0002303,1
WBGene00000050,WBPhenotype:0002319,1
WBGene00000050,WBPhenotype:0002295,1
WBGene00000050,WBPhenotype:0004023,1
WBGene00000050,WBPhenotype:0002325,1
WBGene00000050,WBPhenotype:0002309,1
WBGene00000050,WBPhenotype:0002286,1
WBGene00000050,WBPhenotype:0002346,1
WBGene00000050,WBPhenotype:0002312,1
WBGene00000050,WBPhenotype:0004022,1
WBGene00000050,WBPhenotype:0001005,1
WBGene00000050,WBPhenotype:0002288,1
WBGene00000051,WBPhenotype:0001316,1
WBGene00000051,WBPhenotype:0000016,2
WBGene00000051,WBPhenotype:0002326,1
WBGene00000051,WBPhenotype:0004018,1
WBGene00000053,WBPhenotype:0002302,1
WBGene00000053,WBPhenotype:0002293,1
WBGene00000053,WBPhenotype:0002286,1
WBGene00000053,WBPhenotype:0000542,1
WBGene00000053,WBPhenotype:0002300,1
WBGene00000053,WBPhenotype:0002336,1
WBGene00000053,WBPhenotype:0004023,1
WBGene00000053,WBPhenotype:0000643,1
WBGene00000054,WBPhenotype:0002289,1
WBGene00000054,WBPhenotype:0002284,1
WBGene00000054,WBPhenotype:0002303,1
WBGene00000054,WBPhenotype:0002309,1
WBGene00000054,WBPhenotype:0004022,1
WBGene00000054,WBPhenotype:0000164,1
WBGene00000054,WBPhenotype:0000324,1
WBGene00000054,WBPhenotype:0001573,1
WBGene00000054,WBPhenotype:0002295,1
WBGene00000054,WBPhenotype:0002319,1
WBGene00000054,WBPhenotype:0002322,1
WBGene00000054,WBPhenotype:0002312,1
WBGene00000054,WBPhenotype:0000525,1
WBGene00000054,WBPhenotype:0002346,1
WBGene00000054,WBPhenotype:0002325,1
WBGene00000054,WBPhenotype:0001780,1
WBGene00000054,WBPhenotype:0004023,1
WBGene00000054,WBPhenotype:0002344,1
WBGene00000055,WBPhenotype:0000688,1
WBGene00000055,WBPhenotype:0000656,1
WBGene00000055,WBPhenotype:0000062,1
WBGene00000055,WBPhenotype:0000039,1
WBGene00000055,WBPhenotype:0001852,1
WBGene00000055,WBPhenotype:0001316,1
WBGene00000055,WBPhenotype:0000643,2
WBGene00000055,WBPhenotype:0001236,1
WBGene00000055,WBPhenotype:0002277,1
WBGene00000057,WBPhenotype:0002284,1
WBGene00000057,WBPhenotype:0002325,1
WBGene00000057,WBPhenotype:0002309,1
WBGene00000057,WBPhenotype:0002346,1
WBGene00000057,WBPhenotype:0002295,1
WBGene00000057,WBPhenotype:0002299,1
WBGene00000057,WBPhenotype:0000324,1
WBGene00000057,WBPhenotype:0004022,1
WBGene00000057,WBPhenotype:0004023,1
WBGene00000057,WBPhenotype:0002312,1
WBGene00000057,WBPhenotype:0002319,1
WBGene00000057,WBPhenotype:0002322,1
WBGene00000057,WBPhenotype:0000164,1
WBGene00000057,WBPhenotype:0002301,1
WBGene00000057,WBPhenotype:0002337,1
WBGene00000057,WBPhenotype:0002289,1
WBGene00000057,WBPhenotype:0002292,1
WBGene00000057,WBPhenotype:0001005,1
WBGene00000058,WBPhenotype:0002299,1
WBGene00000058,WBPhenotype:0002319,1
WBGene00000058,WBPhenotype:0000542,1
WBGene00000058,WBPhenotype:0002292,1
WBGene00000058,WBPhenotype:0004023,1
WBGene00000058,WBPhenotype:0002290,1
WBGene00000058,WBPhenotype:0002344,1
WBGene00000058,WBPhenotype:0000324,1
WBGene00000058,WBPhenotype:0004022,1
WBGene00000058,WBPhenotype:0002284,1
WBGene00000058,WBPhenotype:0002346,1
WBGene00000058,WBPhenotype:0002337,1
WBGene00000058,WBPhenotype:0002295,1
WBGene00000058,WBPhenotype:0002301,1
WBGene00000058,WBPhenotype:0002325,1
WBGene00000058,WBPhenotype:0002309,1
WBGene00000060,WBPhenotype:0001005,1
WBGene00000060,WBPhenotype:0002291,1
WBGene00000060,WBPhenotype:0004023,1
WBGene00000060,WBPhenotype:0002319,1
WBGene00000060,WBPhenotype:0002322,1
WBGene00000060,WBPhenotype:0002295,1
WBGene00000060,WBPhenotype:0002303,1
WBGene00000060,WBPhenotype:0002286,1
WBGene00000060,WBPhenotype:0002299,1
WBGene00000060,WBPhenotype:0004022,1
WBGene00000060,WBPhenotype:0002325,1
WBGene00000060,WBPhenotype:0002346,1
WBGene00000060,WBPhenotype:0000542,1
WBGene00000060,WBPhenotype:0002337,1
WBGene00000060,WBPhenotype:0002309,1
WBGene00000060,WBPhenotype:0002312,1
WBGene00000061,WBPhenotype:0001405,1
WBGene00000061,WBPhenotype:0000679,1
WBGene00000062,WBPhenotype:0001853,24
WBGene00000062,WBPhenotype:0000542,1
WBGene00000062,WBPhenotype:0002319,1
WBGene00000062,WBPhenotype:0002322,1
WBGene00000062,WBPhenotype:0002327,1
WBGene00000062,WBPhenotype:0004022,1
WBGene00000062,WBPhenotype:0004023,1
WBGene00000062,WBPhenotype:0002293,1
WBGene00000062,WBPhenotype:0002289,1
WBGene00000062,WBPhenotype:0002344,1
WBGene00000062,WBPhenotype:0002301,1
WBGene00000062,WBPhenotype:0002284,1
WBGene00000062,WBPhenotype:0000050,1
WBGene00000063,WBPhenotype:0000781,1
WBGene00000063,WBPhenotype:0001213,1
WBGene00000063,WBPhenotype:0000229,1
WBGene00000063,WBPhenotype:0000031,4
WBGene00000063,WBPhenotype:0000154,1
WBGene00000063,WBPhenotype:0000030,1
WBGene00000063,WBPhenotype:0000274,2
WBGene00000063,WBPhenotype:0000689,9
WBGene00000063,WBPhenotype:0000688,3
WBGene00000063,WBPhenotype:0001425,3
WBGene00000063,WBPhenotype:0001405,1
WBGene00000063,WBPhenotype:0000961,3
WBGene00000063,WBPhenotype:0001236,3
WBGene00000063,WBPhenotype:0000120,1
WBGene00000063,WBPhenotype:0000402,4
WBGene00000063,WBPhenotype:0000050,5
WBGene00000063,WBPhenotype:0001278,2
WBGene00000063,WBPhenotype:0000900,1
WBGene00000063,WBPhenotype:0000679,5
WBGene00000063,WBPhenotype:0001794,1
WBGene00000063,WBPhenotype:0000059,3
WBGene00000063,WBPhenotype:0000195,1
WBGene00000063,WBPhenotype:0001171,1
WBGene00000063,WBPhenotype:0000697,6
WBGene00000063,WBPhenotype:0001577,1
WBGene00000063,WBPhenotype:0001018,2
WBGene00000063,WBPhenotype:0001569,1
WBGene00000063,WBPhenotype:0001889,1
WBGene00000063,WBPhenotype:0000643,1
WBGene00000063,WBPhenotype:0000054,1
WBGene00000063,WBPhenotype:0000039,1
WBGene00000063,WBPhenotype:0000644,1
WBGene00000063,WBPhenotype:0000062,1
WBGene00000064,WBPhenotype:0000154,1
WBGene00000064,WBPhenotype:0000030,1
WBGene00000064,WBPhenotype:0000274,2
WBGene00000064,WBPhenotype:0000689,9
WBGene00000064,WBPhenotype:0000688,3
WBGene00000064,WBPhenotype:0001425,3
WBGene00000064,WBPhenotype:0001405,1
WBGene00000064,WBPhenotype:0000164,1
WBGene00000064,WBPhenotype:0000961,3
WBGene00000064,WBPhenotype:0001236,3
WBGene00000064,WBPhenotype:0000120,1
WBGene00000064,WBPhenotype:0000402,4
WBGene00000064,WBPhenotype:0000050,6
WBGene00000064,WBPhenotype:0000697,7
WBGene00000064,WBPhenotype:0000900,1
WBGene00000064,WBPhenotype:0000679,5
WBGene00000064,WBPhenotype:0001794,1
WBGene00000064,WBPhenotype:0000059,4
WBGene00000064,WBPhenotype:0000195,1
WBGene00000064,WBPhenotype:0001577,1
WBGene00000064,WBPhenotype:0001018,3
WBGene00000064,WBPhenotype:0001569,1
WBGene00000064,WBPhenotype:0001889,1
WBGene00000064,WBPhenotype:0000031,3
WBGene00000064,WBPhenotype:0000643,1
WBGene00000064,WBPhenotype:0000032,1
WBGene00000064,WBPhenotype:0000644,1
WBGene00000064,WBPhenotype:0000062,1
WBGene00000064,WBPhenotype:0000054,1
WBGene00000065,WBPhenotype:0001213,1
WBGene00000065,WBPhenotype:0000031,4
WBGene00000065,WBPhenotype:0000781,1
WBGene00000065,WBPhenotype:0000229,1
WBGene00000065,WBPhenotype:0000154,1
WBGene00000065,WBPhenotype:0000030,1
WBGene00000065,WBPhenotype:0000274,2
WBGene00000065,WBPhenotype:0000689,9
WBGene00000065,WBPhenotype:0000688,3
WBGene00000065,WBPhenotype:0001425,3
WBGene00000065,WBPhenotype:0001405,1
WBGene00000065,WBPhenotype:0000961,3
WBGene00000065,WBPhenotype:0001236,3
WBGene00000065,WBPhenotype:0000120,1
WBGene00000065,WBPhenotype:0000402,4
WBGene00000065,WBPhenotype:0000050,5
WBGene00000065,WBPhenotype:0000900,1
WBGene00000065,WBPhenotype:0000679,5
WBGene00000065,WBPhenotype:0001794,1
WBGene00000065,WBPhenotype:0000059,3
WBGene00000065,WBPhenotype:0000195,1
WBGene00000065,WBPhenotype:0000697,6
WBGene00000065,WBPhenotype:0001577,1
WBGene00000065,WBPhenotype:0001018,2
WBGene00000065,WBPhenotype:0001569,1
WBGene00000065,WBPhenotype:0001889,1
WBGene00000065,WBPhenotype:0000643,1
WBGene00000065,WBPhenotype:0000644,1
WBGene00000065,WBPhenotype:0000062,1
WBGene00000066,WBPhenotype:0000154,1
WBGene00000066,WBPhenotype:0000697,2
WBGene00000066,WBPhenotype:0001977,1
WBGene00000066,WBPhenotype:0001955,1
WBGene00000066,WBPhenotype:0000039,1
WBGene00000066,WBPhenotype:0000291,1
WBGene00000066,WBPhenotype:0000689,3
WBGene00000066,WBPhenotype:0000643,1
WBGene00000066,WBPhenotype:0001018,1
WBGene00000066,WBPhenotype:0000688,2
WBGene00000066,WBPhenotype:0001952,1
WBGene00000066,WBPhenotype:0000679,1
WBGene00000066,WBPhenotype:0001792,1
WBGene00000066,WBPhenotype:0001171,2
WBGene00000066,WBPhenotype:0000195,1
WBGene00000066,WBPhenotype:0001944,1
WBGene00000066,WBPhenotype:0001405,1
WBGene00000066,WBPhenotype:0001973,1
WBGene00000066,WBPhenotype:0000050,2
WBGene00000066,WBPhenotype:0001953,1
WBGene00000066,WBPhenotype:0001361,1
WBGene00000066,WBPhenotype:0001972,1
WBGene00000066,WBPhenotype:0001982,1
WBGene00000066,WBPhenotype:0000900,1
WBGene00000066,WBPhenotype:0000059,1
WBGene00000066,WBPhenotype:0001028,1
WBGene00000066,WBPhenotype:0000182,1
WBGene00000066,WBPhenotype:0001978,1
WBGene00000066,WBPhenotype:0001810,1
WBGene00000066,WBPhenotype:0001943,1
WBGene00000066,WBPhenotype:0000184,1
WBGene00000067,WBPhenotype:0002504,3
WBGene00000067,WBPhenotype:0000062,2
WBGene00000067,WBPhenotype:0000050,4
WBGene00000067,WBPhenotype:0000748,2
WBGene00000067,WBPhenotype:0000402,1
WBGene00000067,WBPhenotype:0000031,1
WBGene00000067,WBPhenotype:0001952,1
WBGene00000067,WBPhenotype:0001260,1
WBGene00000067,WBPhenotype:0000059,1
WBGene00000067,WBPhenotype:0001972,1
WBGene00000067,WBPhenotype:0001955,1
WBGene00000067,WBPhenotype:0001948,1
WBGene00000067,WBPhenotype:0000689,4
WBGene00000067,WBPhenotype:0000708,1
WBGene00000067,WBPhenotype:0001361,1
WBGene00000067,WBPhenotype:0000676,1
WBGene00000067,WBPhenotype:0000081,1
WBGene00000067,WBPhenotype:0000032,2
WBGene00000067,WBPhenotype:0000697,2
WBGene00000067,WBPhenotype:0000679,1
WBGene00000067,WBPhenotype:0000274,1
WBGene00000067,WBPhenotype:0001973,1
WBGene00000067,WBPhenotype:0000182,1
WBGene00000067,WBPhenotype:0001982,1
WBGene00000067,WBPhenotype:0000313,1
WBGene00000067,WBPhenotype:0001941,1
WBGene00000067,WBPhenotype:0001950,1
WBGene00000067,WBPhenotype:0001425,1
WBGene00000067,WBPhenotype:0001831,1
WBGene00000067,WBPhenotype:0001980,1
WBGene00000067,WBPhenotype:0000688,2
WBGene00000067,WBPhenotype:0001804,1
WBGene00000067,WBPhenotype:0001792,1
WBGene00000067,WBPhenotype:0000662,1
WBGene00000067,WBPhenotype:0000961,1
WBGene00000068,WBPhenotype:0002534,1
WBGene00000068,WBPhenotype:0001911,1
WBGene00000068,WBPhenotype:0000642,1
WBGene00000068,WBPhenotype:0000688,1
WBGene00000068,WBPhenotype:0000420,1
WBGene00000068,WBPhenotype:0000062,1
WBGene00000068,WBPhenotype:0002241,1
WBGene00000068,WBPhenotype:0001013,1
WBGene00000068,WBPhenotype:0000273,1
WBGene00000068,WBPhenotype:0001524,1
WBGene00000068,WBPhenotype:0001897,1
WBGene00000068,WBPhenotype:0000017,1
WBGene00000068,WBPhenotype:0001278,1
WBGene00000068,WBPhenotype:0000844,1
WBGene00000069,WBPhenotype:0000062,1
WBGene00000069,WBPhenotype:0000688,1
WBGene00000069,WBPhenotype:0000164,2
WBGene00000069,WBPhenotype:0000643,2
WBGene00000069,WBPhenotype:0001261,1
WBGene00000069,WBPhenotype:0000022,1
WBGene00000070,WBPhenotype:0001183,1
WBGene00000070,WBPhenotype:0002269,1
WBGene00000070,WBPhenotype:0002266,2
WBGene00000070,WBPhenotype:0000531,2
WBGene00000070,WBPhenotype:0000461,1
WBGene00000070,WBPhenotype:0001620,1
WBGene00000070,WBPhenotype:0000135,1
WBGene00000070,WBPhenotype:0001282,2
WBGene00000070,WBPhenotype:0001405,1
WBGene00000071,WBPhenotype:0000688,2
WBGene00000071,WBPhenotype:0000105,1
WBGene00000071,WBPhenotype:0000059,1
WBGene00000071,WBPhenotype:0001414,1
WBGene00000071,WBPhenotype:0002195,1
WBGene00000071,WBPhenotype:0000062,1
WBGene00000072,WBPhenotype:0001861,1
WBGene00000072,WBPhenotype:0001785,1
WBGene00000072,WBPhenotype:0001685,1
WBGene00000072,WBPhenotype:0000744,1
WBGene00000074,WBPhenotype:0000120,1
WBGene00000075,WBPhenotype:0000032,1
WBGene00000075,WBPhenotype:0000531,1
WBGene00000075,WBPhenotype:0000216,1
WBGene00000075,WBPhenotype:0000689,1
WBGene00000075,WBPhenotype:0001586,1
WBGene00000076,WBPhenotype:0000643,5
WBGene00000076,WBPhenotype:0000181,1
WBGene00000076,WBPhenotype:0000574,1
WBGene00000076,WBPhenotype:0000194,1
WBGene00000076,WBPhenotype:0000583,1
WBGene00000076,WBPhenotype:0000195,1
WBGene00000077,WBPhenotype:0000202,1
WBGene00000077,WBPhenotype:0000195,1
WBGene00000077,WBPhenotype:0000574,1
WBGene00000077,WBPhenotype:0000194,1
WBGene00000078,WBPhenotype:0001447,1
WBGene00000078,WBPhenotype:0000203,1
WBGene00000078,WBPhenotype:0002469,1
WBGene00000078,WBPhenotype:0001445,1
WBGene00000078,WBPhenotype:0001446,1
WBGene00000079,WBPhenotype:0000007,2
WBGene00000079,WBPhenotype:0000697,1
WBGene00000079,WBPhenotype:0001171,2
WBGene00000079,WBPhenotype:0000699,2
WBGene00000079,WBPhenotype:0000640,1
WBGene00000079,WBPhenotype:0001973,1
WBGene00000079,WBPhenotype:0001940,1
WBGene00000079,WBPhenotype:0001969,1
WBGene00000079,WBPhenotype:0001952,1
WBGene00000079,WBPhenotype:0000638,1
WBGene00000079,WBPhenotype:0000186,1
WBGene00000079,WBPhenotype:0001980,1
WBGene00000079,WBPhenotype:0000154,1
WBGene00000079,WBPhenotype:0000059,1
WBGene00000080,WBPhenotype:0000699,2
WBGene00000080,WBPhenotype:0000061,2
WBGene00000080,WBPhenotype:0000062,1
WBGene00000080,WBPhenotype:0000688,1
WBGene00000080,WBPhenotype:0000028,1
WBGene00000081,WBPhenotype:0000059,1
WBGene00000081,WBPhenotype:0000050,1
WBGene00000081,WBPhenotype:0000031,1
WBGene00000082,WBPhenotype:0000342,1
WBGene00000082,WBPhenotype:0000430,1
WBGene00000082,WBPhenotype:0000505,1
WBGene00000082,WBPhenotype:0000070,1
WBGene00000082,WBPhenotype:0000843,1
WBGene00000082,WBPhenotype:0001364,1
WBGene00000083,WBPhenotype:0001017,1
WBGene00000083,WBPhenotype:0000688,1
WBGene00000083,WBPhenotype:0001727,1
WBGene00000083,WBPhenotype:0001517,2
WBGene00000083,WBPhenotype:0000062,1
WBGene00000083,WBPhenotype:0000229,2
WBGene00000083,WBPhenotype:0001171,2
WBGene00000083,WBPhenotype:0000676,1
WBGene00000083,WBPhenotype:0000583,3
WBGene00000083,WBPhenotype:0000638,2
WBGene00000083,WBPhenotype:0002025,1
WBGene00000083,WBPhenotype:0000059,1
WBGene00000083,WBPhenotype:0000134,2
WBGene00000083,WBPhenotype:0001010,1
WBGene00000083,WBPhenotype:0000056,1
WBGene00000083,WBPhenotype:0000031,1
WBGene00000083,WBPhenotype:0000885,1
